date,lat,long,notes
01/05/2015,35.15212686,-89.99276811,"Moved to Memphis, TN, USA"
04/01/2015,4.714930438,-74.12105845,"Took 2 month trip to Bogota, Colombia"
06/01/2015,35.15212686,-89.99276811,Back to Memphis
12/01/2015,51.52102424,-0.129979708,Visited friend at LSHTM
12/31/2015,35.15212686,-89.99276811,Back to Memphis
03/15/2017,35.68537761,139.752708,"Moved to Tokyo, Japan"
01/01/2018,35.15212686,-89.99276811,Back to Memphis
06/01/2018,-33.91696014,18.38741268,"Moved to Cape Town, South Africa"
11/15/2018,48.85741472,2.291409972,"Moved to Paris, France"
12/31/2019,48.85741472,2.291409972,End of data
